pendaftarID,dateID,jalurID,departemenID,statusID,nilaiRapor,nilaiPortofolio,nilaiPrestasi,nilaiTKA,nilaiSAT,nilaiCambridge
74,7851,3,32,15,80,0,78,677,0,0
75,7882,3,5,15,82,0,78,514,0,0
76,7881,3,21,9,85,0,74,631,0,0
77,7833,3,21,9,79,0,71,939,0,0
78,7868,3,16,9,85,0,65,572,0,0
79,7861,3,26,9,85,0,67,565,0,0
80,7840,3,6,9,81,0,71,459,0,0
81,7859,3,9,9,77,0,69,835,0,0
82,7858,3,9,9,80,55,65,514,0,0
83,7872,3,28,15,80,0,67,510,0,0
84,7827,3,22,9,80,75,80,631,0,0
85,7863,3,18,9,83,0,68,577,0,0
86,7842,3,23,15,79,89,76,460,0,0
87,7833,3,13,9,81,0,72,828,0,0
88,7832,3,2,9,80,0,80,725,0,0
89,7837,3,17,15,79,0,69,390,0,0
90,7868,3,16,9,82,0,76,586,0,0
91,7838,3,12,9,84,82,77,687,0,0
92,7831,3,24,15,75,0,77,643,0,0
93,7865,3,11,9,83,0,72,505,0,0
94,7844,3,32,15,84,0,76,475,0,0
95,7843,3,27,15,83,79,70,481,0,0
96,7868,3,20,9,82,70,78,632,0,0
97,7873,3,30,15,84,0,65,595,0,0
98,7875,3,12,9,83,0,76,309,0,0
99,7851,3,23,15,78,55,75,682,0,0
100,7846,3,6,9,84,0,80,688,0,0
101,7851,3,30,15,84,0,76,524,0,0
102,7829,3,4,9,83,0,73,494,0,0
103,7857,3,19,9,81,0,75,972,0,0
104,7856,3,24,9,82,0,69,675,0,0
105,7854,3,19,15,82,51,75,480,0,0
106,7860,3,2,9,83,54,77,670,0,0
107,7872,3,1,9,86,0,68,659,0,0
108,7860,3,4,9,78,0,67,514,0,0
109,7836,3,2,9,83,0,74,527,0,0
110,7835,3,6,9,81,0,66,845,0,0
111,7851,3,13,15,84,0,79,473,0,0
112,7867,3,27,15,84,95,74,595,0,0
113,7844,3,22,9,82,81,80,846,0,0
114,7842,3,24,9,82,68,67,911,0,0
115,7835,3,26,9,84,0,72,556,0,0
116,7880,3,30,15,76,68,77,588,0,0
117,7833,3,19,15,76,83,73,386,0,0
118,7864,3,3,15,77,0,74,907,0,0
119,7849,3,24,15,81,92,79,564,0,0
120,7832,3,13,9,83,0,77,524,0,0
121,7823,3,28,9,87,0,65,628,0,0
122,7828,3,21,9,81,0,68,404,0,0
123,7879,3,7,9,82,0,78,546,0,0
124,7829,3,22,9,81,68,65,480,0,0
125,7876,3,20,9,81,0,72,744,0,0
126,7842,3,30,15,84,0,73,476,0,0
127,7872,3,19,15,80,0,69,485,0,0
128,7837,3,33,15,84,77,75,817,0,0
129,7864,3,15,15,85,0,67,391,0,0
130,7865,3,28,15,86,41,69,539,0,0
131,7823,3,6,9,83,0,72,522,0,0
132,7859,3,30,9,77,0,67,850,0,0
133,7880,3,17,9,83,0,77,940,0,0
134,7861,3,30,9,79,0,69,755,0,0
135,7879,3,14,15,82,0,75,435,0,0
136,7873,3,13,9,83,0,77,676,0,0
137,7864,3,25,15,83,0,71,589,0,0
138,7864,3,2,9,81,0,78,727,0,0
139,7866,3,23,9,82,0,78,774,0,0
140,7857,3,26,15,86,60,80,584,0,0
141,7874,3,10,9,78,0,69,815,0,0
142,7855,3,20,9,80,0,73,710,0,0
143,7882,3,26,15,82,71,77,352,0,0
144,7870,3,14,15,84,95,66,573,0,0
145,7835,3,25,15,81,57,77,726,0,0
146,7881,3,20,9,86,0,73,532,0,0
147,7829,3,20,9,85,0,80,580,0,0
148,7839,3,3,15,84,0,80,446,0,0
149,7877,3,27,9,83,51,70,771,0,0
150,7879,3,30,9,79,0,66,825,0,0
151,7880,3,2,9,83,0,73,465,0,0
152,7830,3,15,9,82,0,76,870,0,0
153,7850,3,2,9,83,0,65,766,0,0
154,7844,3,9,9,85,92,79,747,0,0
155,7881,3,33,15,84,0,72,780,0,0
156,7861,3,29,9,81,0,79,465,0,0
157,7852,3,4,9,79,0,80,520,0,0
158,7870,3,2,9,83,0,73,968,0,0
159,7856,3,7,9,81,0,73,513,0,0
160,7857,3,15,9,77,63,75,806,0,0
161,7855,3,20,9,79,0,79,646,0,0
162,7869,3,33,9,84,0,80,846,0,0
163,7859,3,17,9,84,0,72,756,0,0
164,7857,3,18,15,80,91,68,563,0,0
165,7867,3,31,15,82,95,68,400,0,0
166,7831,3,18,15,78,0,74,517,0,0
167,7844,3,23,15,79,0,75,422,0,0
168,7838,3,22,9,79,63,78,911,0,0
169,7857,3,2,9,80,0,80,692,0,0
170,7836,3,23,15,83,0,69,560,0,0
171,7863,3,19,9,85,65,68,705,0,0
172,7860,3,4,9,79,0,76,603,0,0
173,7865,3,18,9,79,0,73,897,0,0
174,7868,3,15,9,82,0,67,620,0,0
175,7842,3,28,9,86,0,79,600,0,0
176,7869,3,33,15,84,57,75,670,0,0
177,7849,3,6,9,85,0,74,614,0,0
178,7837,3,7,9,84,0,65,529,0,0
179,7827,3,6,9,84,0,78,492,0,0
180,7840,3,33,15,81,0,74,432,0,0
181,7847,3,14,15,83,72,73,610,0,0
182,7867,3,5,9,85,0,73,972,0,0
183,7829,3,15,9,86,0,71,626,0,0
184,7874,3,27,9,78,91,75,751,0,0
185,7824,3,3,15,84,93,80,385,0,0
186,7823,3,6,9,82,0,75,655,0,0
187,7846,3,30,15,82,0,68,493,0,0
188,7866,3,15,9,82,0,76,855,0,0
189,7832,3,24,15,83,0,77,466,0,0
190,7852,3,27,9,85,42,79,845,0,0
191,7856,3,33,9,79,0,79,873,0,0
192,7872,3,17,15,83,94,71,500,0,0
193,7849,3,4,9,84,0,77,494,0,0
194,7834,3,17,15,85,59,67,439,0,0
195,7870,3,3,15,81,0,76,574,0,0
196,7873,3,17,9,79,0,65,647,0,0
197,7866,3,14,9,84,0,70,771,0,0
198,7872,3,18,9,77,0,72,679,0,0
199,7881,3,4,9,78,0,71,589,0,0
200,7842,3,29,9,82,0,65,715,0,0
201,7882,3,17,9,85,0,70,864,0,0
202,7828,3,27,15,81,71,74,551,0,0
203,7827,3,12,9,84,81,68,764,0,0
204,7864,3,6,9,83,0,69,901,0,0
205,7882,3,15,9,81,0,72,452,0,0
206,7865,3,29,9,84,85,76,926,0,0
207,7833,3,14,9,85,91,71,664,0,0
208,7870,3,16,9,82,0,77,654,0,0
209,7869,3,16,9,88,66,74,434,0,0
210,7873,3,11,9,81,0,70,911,0,0
211,7826,3,10,9,82,0,74,627,0,0
212,7828,3,2,9,75,0,78,919,0,0
213,7881,3,9,9,81,0,78,729,0,0
214,7872,3,3,15,80,0,78,613,0,0
215,7871,3,6,9,82,65,68,310,0,0
216,7838,3,23,15,85,53,68,407,0,0
217,7865,3,30,15,84,0,80,388,0,0
218,7838,3,14,9,86,48,74,912,0,0
219,7851,3,10,9,80,97,73,717,0,0
220,7849,3,22,9,81,52,73,580,0,0
221,7871,3,4,9,84,0,78,648,0,0
222,7826,3,16,9,83,99,76,410,0,0
223,7831,3,31,9,81,76,70,644,0,0
224,7830,3,7,9,82,0,78,655,0,0
225,7853,3,6,9,79,0,68,446,0,0
226,7866,3,5,15,82,76,68,646,0,0
227,7857,3,15,9,86,0,69,519,0,0
228,7861,3,14,15,82,0,67,476,0,0
229,7877,3,7,9,82,45,76,570,0,0
230,7872,3,19,9,79,0,74,537,0,0
231,7826,3,31,9,79,40,71,718,0,0
232,7860,3,6,9,80,0,78,718,0,0
233,7872,3,25,9,84,0,70,770,0,0
234,7843,3,2,9,83,0,67,730,0,0
235,7842,3,25,15,87,65,78,765,0,0
236,7876,3,20,9,79,0,74,771,0,0
237,7872,3,28,9,83,0,73,629,0,0
238,7877,3,3,15,83,0,72,722,0,0
239,7834,3,28,9,80,0,73,707,0,0
240,7829,3,9,9,80,81,79,462,0,0
241,7836,3,9,9,86,0,75,727,0,0
242,7855,3,24,9,79,0,67,837,0,0
243,7831,3,9,9,81,0,77,725,0,0
244,7870,3,1,9,83,0,66,847,0,0
245,7882,3,19,15,78,78,73,523,0,0
246,7836,3,21,9,79,0,80,485,0,0
247,7846,3,13,9,87,0,73,710,0,0
248,7846,3,3,15,81,0,76,484,0,0
249,7845,3,18,9,79,0,69,630,0,0
250,7841,3,1,9,83,0,80,826,0,0
251,7853,3,14,15,77,0,69,466,0,0
252,7846,3,11,9,82,65,80,844,0,0
253,7873,3,15,9,82,49,80,863,0,0
254,7844,3,3,15,80,0,66,811,0,0
255,7869,3,18,9,81,0,71,589,0,0
256,7855,3,11,9,82,0,65,653,0,0
257,7855,3,21,9,87,0,72,405,0,0
258,7880,3,1,9,79,0,67,627,0,0
259,7838,3,3,15,87,42,76,614,0,0
260,7877,3,31,15,80,42,71,421,0,0
261,7834,3,5,9,83,0,76,568,0,0
262,7864,3,28,9,83,0,79,675,0,0
263,7853,3,24,15,88,87,73,549,0,0
264,7843,3,26,9,86,0,78,831,0,0
265,7875,3,3,15,84,0,66,539,0,0
266,7860,3,32,15,84,0,69,637,0,0
267,7854,3,8,9,79,0,72,563,0,0
268,7849,3,31,9,83,71,71,603,0,0
269,7873,3,16,9,82,0,74,837,0,0
270,7844,3,5,15,80,58,74,518,0,0
271,7844,3,1,9,82,0,76,650,0,0
272,7853,3,19,9,84,0,66,725,0,0
273,7877,3,17,9,76,40,73,899,0,0
274,7854,3,20,9,84,0,77,497,0,0
275,7834,3,26,15,82,0,72,377,0,0
276,7835,3,30,15,80,0,72,462,0,0
277,7863,3,22,9,88,57,67,698,0,0
278,7859,3,20,9,84,51,65,471,0,0
279,7836,3,3,15,83,0,73,488,0,0
280,7870,3,22,15,84,98,74,396,0,0
281,7881,3,15,9,79,0,69,653,0,0
282,7863,3,12,9,82,0,65,510,0,0
283,7838,3,10,9,81,50,73,712,0,0
284,7871,3,4,9,83,0,74,665,0,0
285,7871,3,11,9,81,62,74,716,0,0
286,7855,3,10,9,87,0,73,916,0,0
287,7854,3,26,9,79,0,78,727,0,0
288,7859,3,11,9,83,0,79,645,0,0
289,7835,3,15,9,79,0,68,806,0,0
290,7868,3,15,15,86,0,79,336,0,0
291,7859,3,18,15,83,67,78,510,0,0
292,7864,3,21,9,80,0,70,447,0,0
293,7877,3,27,9,79,55,74,815,0,0
294,7864,3,15,9,86,62,71,809,0,0
295,7848,3,18,15,84,0,75,526,0,0
296,7857,3,4,9,78,0,65,578,0,0
297,7880,3,3,15,86,0,73,620,0,0
298,7839,3,9,9,80,0,68,673,0,0
299,7825,3,9,9,84,0,66,749,0,0
300,7869,3,4,9,83,85,74,728,0,0
301,7839,3,2,9,86,0,70,973,0,0
302,7858,3,3,15,84,0,76,426,0,0
303,7845,3,15,9,76,0,67,649,0,0
304,7823,3,16,9,79,0,68,620,0,0
305,7872,3,2,9,82,0,69,727,0,0
306,7862,3,18,9,86,0,76,606,0,0
307,7861,3,9,9,85,0,72,441,0,0
308,7863,3,31,9,83,93,73,790,0,0
309,7864,3,5,15,83,0,75,469,0,0
310,7863,3,10,9,82,77,77,781,0,0
311,7876,3,15,9,84,0,67,628,0,0
312,7872,3,14,9,83,96,74,675,0,0
313,7860,3,8,9,84,85,68,649,0,0
314,7845,3,13,9,82,0,73,757,0,0
315,7852,3,4,9,81,0,76,536,0,0
316,7866,3,9,9,82,0,74,586,0,0
317,7878,3,27,15,84,48,80,730,0,0
318,7837,3,17,9,82,0,67,490,0,0
319,7871,3,20,9,81,0,66,482,0,0
320,7855,3,4,9,82,0,72,670,0,0
321,7830,3,9,9,85,0,80,663,0,0
322,7868,3,27,9,85,52,74,874,0,0
323,7879,3,23,9,84,0,80,758,0,0
324,7876,3,10,9,84,89,68,651,0,0
325,7871,3,21,9,80,0,74,684,0,0
326,7836,3,6,9,77,0,70,675,0,0
327,7845,3,8,9,85,0,79,678,0,0
328,7824,3,8,9,85,0,74,668,0,0
329,7853,3,8,9,83,0,65,939,0,0
330,7876,3,12,9,78,0,72,474,0,0
331,7855,3,20,9,81,0,80,817,0,0
332,7840,3,14,9,80,0,71,717,0,0
333,7876,3,15,9,82,0,73,724,0,0
334,7878,3,3,15,81,0,68,564,0,0
335,7877,3,25,9,77,0,65,734,0,0
336,7841,3,28,9,76,0,78,673,0,0
337,7870,3,13,9,79,0,67,779,0,0
338,7825,3,19,9,76,0,75,666,0,0
339,7827,3,8,9,82,0,68,535,0,0
340,7841,3,4,9,82,0,66,597,0,0
341,7835,3,5,9,78,0,75,564,0,0
342,7839,3,17,9,88,40,68,624,0,0
343,7873,3,7,9,77,0,66,687,0,0
344,7881,3,2,9,85,86,79,627,0,0
345,7838,3,13,9,82,53,78,756,0,0
346,7851,3,14,9,84,0,67,758,0,0
347,7881,3,24,15,83,0,73,548,0,0
348,7825,3,15,15,75,42,78,496,0,0
349,7834,3,32,15,81,0,74,417,0,0
350,7879,3,14,9,82,0,80,542,0,0
351,7855,3,7,9,85,75,67,614,0,0
352,7850,3,12,9,84,0,78,669,0,0
353,7829,3,17,9,82,57,73,702,0,0
354,7840,3,25,9,83,0,80,779,0,0
355,7828,3,13,9,81,0,79,584,0,0
356,7880,3,15,9,79,0,78,409,0,0
357,7855,3,12,9,83,70,70,805,0,0
358,7870,3,17,9,82,0,73,852,0,0
359,7848,3,3,15,86,96,65,804,0,0
360,7847,3,28,15,83,0,71,440,0,0
361,7850,3,1,9,87,0,69,509,0,0
362,7873,3,5,9,80,76,76,821,0,0
363,7870,3,3,15,82,55,75,459,0,0
364,7848,3,9,9,81,0,67,678,0,0
365,7845,3,9,9,84,0,68,695,0,0
366,7863,3,6,9,85,55,72,561,0,0
367,7875,3,7,9,84,0,65,720,0,0
368,7875,3,24,15,82,0,80,622,0,0
369,7829,3,29,9,81,0,77,808,0,0
370,7846,3,13,9,81,0,75,706,0,0
371,7826,3,33,15,80,42,69,631,0,0
372,7836,3,20,9,83,0,77,535,0,0
373,7866,3,30,9,83,0,65,928,0,0
374,7828,3,18,9,85,0,80,740,0,0
375,7879,3,14,15,81,0,71,427,0,0
376,7841,3,3,15,83,0,77,615,0,0
377,7843,3,13,15,86,48,80,522,0,0
378,7833,3,31,15,78,98,65,405,0,0
379,7878,3,11,9,86,0,76,766,0,0
380,7880,3,2,9,82,0,73,931,0,0
381,7839,3,14,9,79,0,75,707,0,0
382,7871,3,20,9,84,0,74,769,0,0
383,7867,3,32,15,78,0,66,695,0,0
384,7858,3,28,15,84,46,67,463,0,0
385,7835,3,15,9,83,49,68,782,0,0
386,7824,3,27,15,83,70,72,691,0,0
387,7838,3,4,9,84,74,78,483,0,0
388,7844,3,32,9,82,0,71,797,0,0
389,7830,3,25,9,83,0,76,718,0,0
390,7852,3,29,15,77,44,80,594,0,0
391,7857,3,23,9,83,0,76,965,0,0
392,7854,3,33,15,85,0,77,761,0,0
393,7849,3,6,9,81,0,78,649,0,0
394,7850,3,2,9,82,85,70,561,0,0
395,7879,3,12,9,81,0,79,501,0,0
396,7853,3,27,15,80,46,69,516,0,0
397,7853,3,21,9,84,0,79,558,0,0
398,7871,3,1,9,83,0,80,736,0,0
399,7879,3,27,15,85,73,77,524,0,0
400,7844,3,28,15,85,0,71,463,0,0
401,7862,3,26,15,86,40,65,551,0,0
402,7842,3,8,9,83,0,75,683,0,0
403,7875,3,20,9,76,59,67,784,0,0
404,7829,3,25,15,85,0,68,396,0,0
405,7845,3,25,15,77,0,79,538,0,0
406,7862,3,19,15,86,0,78,476,0,0
407,7828,3,14,9,83,0,65,700,0,0
408,7861,3,29,9,83,0,80,858,0,0
409,7834,3,9,9,80,0,67,546,0,0
410,7852,3,27,15,77,88,68,416,0,0
411,7848,3,18,15,80,0,74,493,0,0
412,7841,3,16,9,86,0,80,740,0,0
413,7849,3,11,9,82,0,69,802,0,0
414,7875,3,16,9,86,69,75,629,0,0
415,7865,3,17,9,79,0,67,646,0,0
416,7874,3,11,9,75,0,65,691,0,0
417,7827,3,21,9,85,0,72,616,0,0
418,7826,3,1,9,86,0,68,537,0,0
419,7835,3,10,9,83,0,78,753,0,0
420,7841,3,5,9,80,0,71,628,0,0
421,7843,3,20,9,86,66,76,425,0,0
422,7880,3,7,9,82,0,76,639,0,0
423,7860,3,31,15,86,70,77,357,0,0
424,7836,3,23,9,83,0,68,797,0,0
425,7827,3,2,9,79,0,68,512,0,0
426,7852,3,10,9,82,0,79,889,0,0
427,7853,3,1,9,84,0,66,345,0,0
428,7850,3,7,9,83,0,68,631,0,0
429,7838,3,7,9,78,0,67,645,0,0
430,7832,3,31,9,77,46,75,659,0,0
431,7873,3,13,9,87,0,65,991,0,0
432,7869,3,21,9,82,0,79,571,0,0
433,7871,3,3,15,82,0,65,550,0,0
434,7854,3,13,15,78,0,66,389,0,0
435,7832,3,3,15,77,0,66,478,0,0
436,7838,3,6,9,81,0,76,849,0,0
437,7882,3,33,15,83,0,70,804,0,0
438,7870,3,12,9,83,86,66,729,0,0
439,7866,3,1,9,84,0,65,550,0,0
440,7837,3,1,9,86,0,70,804,0,0
441,7828,3,33,15,84,0,66,590,0,0
442,7877,3,26,9,83,0,75,498,0,0
443,7838,3,21,9,83,78,70,734,0,0
444,7868,3,31,9,79,76,68,850,0,0
445,7880,3,13,9,81,99,69,669,0,0
446,7871,3,20,9,84,0,69,706,0,0
447,7855,3,29,9,76,0,74,765,0,0
448,7849,3,10,9,84,0,78,549,0,0
449,7857,3,21,9,81,50,71,878,0,0
450,7850,3,27,15,83,43,69,758,0,0
451,7881,3,15,9,84,0,70,482,0,0
452,7823,3,33,9,85,0,66,810,0,0
453,7823,3,31,15,80,51,73,487,0,0
454,7868,3,20,9,80,0,80,512,0,0
455,7834,3,16,9,84,0,65,542,0,0
456,7847,3,3,15,80,0,71,509,0,0
457,7861,3,18,9,86,0,80,784,0,0
458,7878,3,12,9,81,0,70,732,0,0
459,7849,3,5,15,83,0,78,476,0,0
460,7823,3,20,9,82,0,66,745,0,0
461,7878,3,14,9,84,52,68,827,0,0
462,7874,3,7,9,82,100,73,648,0,0
463,7839,3,29,9,81,0,73,947,0,0
464,7823,3,2,9,84,0,71,691,0,0
465,7848,3,7,9,81,0,74,627,0,0
466,7855,3,21,9,85,91,79,950,0,0
467,7836,3,28,9,80,0,68,832,0,0
468,7825,3,2,9,77,0,74,475,0,0
469,7834,3,14,15,83,0,66,511,0,0
470,7838,3,5,9,78,0,72,620,0,0
471,7874,3,5,9,83,0,75,694,0,0
472,7849,3,2,9,82,0,71,891,0,0
473,7841,3,17,15,82,0,75,400,0,0
474,7852,3,28,15,84,81,74,432,0,0
475,7857,3,2,9,84,91,78,706,0,0
476,7825,3,9,9,85,81,70,414,0,0
477,7861,3,14,9,83,0,76,840,0,0
478,7833,3,32,15,81,0,80,411,0,0
479,7858,3,8,9,87,0,77,536,0,0
480,7855,3,11,9,85,0,67,558,0,0
481,7849,3,29,9,78,0,73,687,0,0
482,7825,3,16,9,82,0,68,904,0,0
483,7833,3,24,15,79,0,78,633,0,0
484,7823,3,18,9,83,69,67,758,0,0
485,7874,3,13,9,80,0,66,635,0,0
486,7854,3,11,9,85,0,72,725,0,0
487,7848,3,10,9,83,0,75,960,0,0
488,7830,3,17,9,84,55,80,756,0,0
489,7843,3,29,9,85,0,69,747,0,0
490,7832,3,30,15,81,0,74,544,0,0
491,7868,3,25,15,81,73,65,707,0,0
492,7860,3,4,9,85,0,70,762,0,0
493,7866,3,3,15,75,85,67,737,0,0
494,7829,3,24,9,80,0,78,794,0,0
495,7872,3,9,9,85,0,73,456,0,0
496,7875,3,5,9,82,0,70,869,0,0
497,7874,3,32,9,82,0,76,741,0,0
498,7874,3,7,9,80,0,77,403,0,0
499,7855,3,11,9,79,0,70,827,0,0
500,7873,3,26,9,78,0,79,919,0,0
501,7853,3,26,9,79,0,78,953,0,0
502,7831,3,20,9,83,0,79,760,0,0
503,7823,3,12,9,79,0,76,771,0,0
504,7857,3,9,9,76,79,71,645,0,0
505,7872,3,24,15,83,0,76,402,0,0
506,7861,3,18,9,83,0,75,687,0,0
507,7844,3,6,9,80,0,75,507,0,0
508,7864,3,6,9,82,79,71,649,0,0
509,7875,3,30,15,86,0,73,385,0,0
510,7858,3,25,9,83,0,74,776,0,0
511,7865,3,16,9,77,0,80,770,0,0
512,7839,3,18,9,87,0,79,771,0,0
513,7827,3,31,15,84,99,70,470,0,0
514,7833,3,10,9,79,0,68,640,0,0
515,7843,3,31,15,83,54,80,527,0,0
516,7877,3,26,9,81,0,71,731,0,0
517,7842,3,1,9,87,0,80,540,0,0
518,7839,3,5,9,85,0,65,900,0,0
519,7867,3,20,9,79,0,79,910,0,0
520,7876,3,11,9,84,100,75,734,0,0
521,7852,3,33,15,84,43,76,635,0,0
522,7859,3,25,15,86,0,74,553,0,0
523,7867,3,26,15,83,0,76,409,0,0
524,7835,3,4,9,84,0,69,511,0,0
525,7828,3,4,9,83,0,80,956,0,0
526,7833,3,23,9,83,0,80,685,0,0
527,7831,3,7,9,79,0,73,848,0,0
528,7845,3,15,9,84,0,68,891,0,0
529,7832,3,33,15,77,0,66,576,0,0
530,7867,3,25,15,84,0,72,418,0,0
531,7881,3,3,15,82,0,79,409,0,0
532,7872,3,29,9,83,0,71,480,0,0
533,7874,3,22,9,84,48,68,917,0,0
534,7842,3,12,9,80,0,78,381,0,0
535,7850,3,30,15,85,0,71,415,0,0
536,7852,3,32,15,81,0,75,527,0,0
537,7877,3,1,9,80,0,80,612,0,0
538,7848,3,24,15,82,0,76,634,0,0
539,7828,3,9,9,82,0,67,796,0,0
540,7858,3,21,9,84,70,69,735,0,0
541,7839,3,30,15,86,0,73,581,0,0
542,7859,3,8,9,81,0,78,376,0,0
543,7841,3,14,15,84,0,67,401,0,0
544,7827,3,5,9,84,0,74,695,0,0
545,7855,3,31,9,87,76,68,841,0,0
546,7833,3,20,9,84,0,74,475,0,0
547,7845,3,13,9,83,0,66,720,0,0
548,7870,3,16,9,82,47,66,859,0,0
549,7854,3,9,9,83,41,79,612,0,0
550,7846,3,26,9,86,0,73,497,0,0
551,7859,3,27,15,81,58,75,668,0,0
552,7851,3,8,9,81,40,74,441,0,0
553,7846,3,3,15,85,0,65,685,0,0
554,7832,3,2,9,79,0,72,573,0,0
555,7865,3,8,9,81,0,74,601,0,0
556,7858,3,27,15,85,69,75,496,0,0
557,7836,3,16,9,78,0,72,692,0,0
558,7870,3,26,9,79,0,66,849,0,0
559,7862,3,14,15,82,0,80,423,0,0
560,7874,3,31,9,82,46,78,626,0,0
561,7823,3,8,9,81,94,74,723,0,0
562,7866,3,32,15,80,72,76,640,0,0
563,7857,3,30,9,87,0,77,856,0,0
564,7867,3,32,15,80,0,78,675,0,0
565,7829,3,21,9,83,0,77,771,0,0
566,7860,3,23,15,86,70,78,340,0,0
567,7851,3,33,15,84,0,70,728,0,0
568,7828,3,21,9,83,0,78,620,0,0
569,7860,3,26,15,84,58,79,510,0,0
570,7865,3,11,9,80,0,67,723,0,0
571,7852,3,29,9,83,0,68,720,0,0
572,7880,3,17,9,82,0,68,860,0,0
573,7867,3,7,9,86,96,68,597,0,0
574,7861,3,1,9,85,0,71,751,0,0
575,7881,3,32,15,81,0,75,582,0,0
576,7882,3,19,15,81,75,65,645,0,0
577,7823,3,6,9,80,82,77,569,0,0
578,7854,3,17,9,83,0,78,450,0,0
579,7875,3,12,9,82,0,72,800,0,0
580,7876,3,18,9,84,0,77,701,0,0
581,7845,3,4,9,80,53,68,585,0,0
582,7868,3,20,9,85,0,79,705,0,0
583,7869,3,33,15,82,42,79,701,0,0
584,7845,3,29,15,82,43,66,590,0,0
585,7833,3,6,9,86,0,75,766,0,0
586,7836,3,1,9,85,0,77,469,0,0
587,7857,3,16,9,85,0,73,707,0,0
588,7843,3,3,15,83,0,65,555,0,0
589,7849,3,21,9,85,0,70,573,0,0
590,7838,3,13,9,80,0,75,702,0,0
591,7870,3,33,15,82,0,75,645,0,0
592,7839,3,1,9,80,0,71,935,0,0
593,7876,3,29,9,82,0,69,846,0,0
594,7834,3,23,15,86,0,79,562,0,0
595,7872,3,5,15,77,0,75,514,0,0
596,7845,3,10,9,84,0,69,807,0,0
597,7854,3,14,9,81,69,70,904,0,0
598,7881,3,5,15,83,0,66,411,0,0
599,7845,3,9,9,77,70,72,672,0,0
600,7873,3,29,15,79,0,80,328,0,0
601,7836,3,6,9,83,0,70,540,0,0
